"Kategoria","Podkategoria","Usługa","Cena min","Cena max","Jednostka","Uwagi"
"Regulacja okien i drzwi","Regulacja okien","Regulacja standardowa okna",30,,"zł","od"
"Regulacja okien i drzwi","Regulacja okien","Regulacja z czyszczeniem i smarowaniem",27,,"zł","od"
"Regulacja okien i drzwi","Regulacja okien","Regulacja okien balkonowych",35,,"zł","od"
"Regulacja okien i drzwi","Regulacja okien","Regulacja z przywracaniem geometrii",45,,"zł","od"
"Regulacja okien i drzwi","Regulacja okien","Skomplikowana regulacja (ze zdejmowaniem skrzydła)",75,,"zł","od"
"Regulacja okien i drzwi","Regulacja okien","Regulacja okien dachowych",85,,"zł","od"
"Regulacja okien i drzwi","Regulacja okien","Regulacja okien przesuwnych PSK/HS",95,,"zł","od"
"Regulacja okien i drzwi","Regulacja drzwi","Regulacja drzwi wewnętrznych",37,,"zł",
"Regulacja okien i drzwi","Regulacja drzwi","Regulacja drzwi zewnętrznych",45,,"zł","od"
"Regulacja okien i drzwi","Regulacja drzwi","Regulacja drzwi balkonowych",50,,"zł",
"Regulacja okien i drzwi","Regulacja drzwi","Regulacja drzwi PCV",100,,"zł",
"Regulacja okien i drzwi","Regulacja drzwi","Regulacja drzwi GERDA, JUWENT, WIKĘD",90,,"zł",
"Regulacja okien i drzwi","Regulacja drzwi","Regulacja drzwi PARMAX, POZBUD, DERPAL, WIATRAK",70,,"zł",
"Regulacja okien i drzwi","Regulacja drzwi","Regulacja bramy garażowej",150,,"zł","od"
"Naprawa okien","Według typu okna","Naprawa okien PCV",27,,"zł","od"
"Naprawa okien","Według typu okna","Naprawa okien drewnianych",45,,"zł","od"
"Naprawa okien","Według typu okna","Naprawa okien aluminiowych",40,,"zł","od"
"Naprawa okien","Według typu okna","Naprawa okien dachowych",95,,"zł","od"
"Naprawa okien","Według typu okna","Naprawa drzwi balkonowych",55,,"zł","od"
"Naprawa okien","Według zakresu naprawy","Naprawa mechanizmu otwierania",45,,"zł","od"
"Naprawa okien","Według zakresu naprawy","Naprawa/wymiana klamki",30,,"zł","od"
"Naprawa okien","Według zakresu naprawy","Naprawa zawiasów",50,,"zł","od"
"Naprawa okien","Według zakresu naprawy","Naprawa zamka",60,,"zł","od"
"Naprawa okien","Według zakresu naprawy","Usunięcie obluzowania szyby",35,,"zł","od"
"Naprawa okien","Według zakresu naprawy","Naprawa mikrowentylacji",40,,"zł","od"
"Wymiana szyb","Wymiana pakietów szybowych w oknach","Okno PCV",69,,"zł","od"
"Wymiana szyb","Wymiana pakietów szybowych w oknach","Okno drewniane",128,,"zł","od"
"Wymiana szyb","Wymiana pakietów szybowych w oknach","Okno aluminiowe",135,,"zł","od"
"Wymiana szyb","Wymiana pakietów szybowych w oknach","Okno dachowe",185,,"zł","od"
"Wymiana szyb","Wymiana szyb w drzwiach","Drzwi PCV",95,,"zł","od"
"Wymiana szyb","Wymiana szyb w drzwiach","Drzwi drewniane",250,,"zł","od"
"Wymiana szyb","Wymiana szyb w drzwiach","Drzwi aluminiowe",210,,"zł","od"
"Wymiana szyb","Wymiana szyb w drzwiach","Drzwi przesuwne",78,,"zł","od"
"Wymiana szyb","Ceny pakietów szybowych","Szyba zespolona 1-komorowa (4-16-4)",60,,"zł/m²","od"
"Wymiana szyb","Ceny pakietów szybowych","Szyba zespolona 2-komorowa (4-16-4-16-4)",75,,"zł/m²","od"
"Wymiana szyb","Ceny pakietów szybowych","Szyba bezpieczna (hartowana)",120,,"zł/m²","od"
"Wymiana szyb","Ceny pakietów szybowych","Szyba antywłamaniowa P4",180,,"zł/m²","od"
"Wymiana szyb","Ceny pakietów szybowych","Szyba dźwiękochłonna",150,,"zł/m²","od"
"Wymiana szyb","Ceny pakietów szybowych","Szyba ornamentowa",95,,"zł/m²","od"
"Wymiana szyb","Ceny pakietów szybowych","Szkło zbrojone 6 mm",138,,"zł/m²","od"
"Okucia i mechanizmy","Klamki i uchwyty","Klamka okienna standardowa",30,,"zł","Cena z montażem"
"Okucia i mechanizmy","Klamki i uchwyty","Klamka okienna z kluczem",45,,"zł","Cena z montażem"
"Okucia i mechanizmy","Klamki i uchwyty","Klamka balkonowa (łopatka)",50,,"zł","Cena z montażem"
"Okucia i mechanizmy","Klamki i uchwyty","Klamka dwustronna balkonowa",70,,"zł","Cena z montażem"
"Okucia i mechanizmy","Klamki i uchwyty","Zatrzask balkonowy (magnes)",70,,"zł","Cena z montażem"
"Okucia i mechanizmy","Klamki i uchwyty","Uchwyt do drzwi przesuwnych",85,,"zł","Cena z montażem"
"Okucia i mechanizmy","Okucia okienne","Wymiana zasuwnicy",100,,"zł","Cena z montażem"
"Okucia i mechanizmy","Okucia okienne","Wymiana nożyc okiennych",100,,"zł","Cena z montażem"
"Okucia i mechanizmy","Okucia okienne","Wymiana zawiasów (komplet)",100,,"zł","Cena z montażem"
"Okucia i mechanizmy","Okucia okienne","Wymiana narożnika",50,,"zł","Cena z montażem"
"Okucia i mechanizmy","Okucia okienne","Wymiana przedłużki",50,,"zł","Cena z montażem"
"Okucia i mechanizmy","Okucia okienne","Wymiana zaczepów",50,,"zł","Cena z montażem"
"Okucia i mechanizmy","Okucia okienne","Montaż ogranicznika otwarcia",65,,"zł","Cena z montażem"
"Okucia i mechanizmy","Okucia okienne","Montaż blokady obrotu klamki",55,,"zł","Cena z montażem"
"Okucia i mechanizmy","Mechanizmy specjalne","Samozamykacz drzwiowy",150,,"zł","od, Cena z montażem"
"Okucia i mechanizmy","Mechanizmy specjalne","Siłownik okienny elektryczny",350,,"zł","od, Cena z montażem"
"Okucia i mechanizmy","Mechanizmy specjalne","System mikrowentylacji",45,,"zł","od, Cena z montażem"
"Okucia i mechanizmy","Mechanizmy specjalne","Nawiewnik okienny higrosterowany",60,,"zł","od, Cena z montażem"
"Okucia i mechanizmy","Mechanizmy specjalne","Nawiewnik ciśnieniowy",85,,"zł","od, Cena z montażem"
"Uszczelnianie","Wymiana uszczelek","Uszczelka w ramie okiennej",10,,"zł/metr",
"Uszczelnianie","Wymiana uszczelek","Uszczelka przylgowa",12,,"zł/metr",
"Uszczelnianie","Wymiana uszczelek","Uszczelka szczotkowa",15,,"zł/metr",
"Uszczelnianie","Wymiana uszczelek","Kompletna wymiana uszczelek - okno standardowe",27,,"zł","od"
"Uszczelnianie","Wymiana uszczelek","Kompletna wymiana uszczelek - okno drewniane",40,,"zł","od"
"Uszczelnianie","Wymiana uszczelek","Kompletna wymiana uszczelek - drzwi wewnętrzne",60,,"zł",
"Uszczelnianie","Wymiana uszczelek","Kompletna wymiana uszczelek - drzwi zewnętrzne",70,,"zł",
"Uszczelnianie","Dodatkowe uszczelnianie","Montaż dodatkowych uszczelek",32,,"zł","od"
"Uszczelnianie","Dodatkowe uszczelnianie","Uszczelnienie silikonem",8,,"zł/metr",
"Uszczelnianie","Dodatkowe uszczelnianie","Uszczelnienie pianką montażową",25,,"zł","od"
"Uszczelnianie","Dodatkowe uszczelnianie","Izolacja termiczna ościeżnicy",45,,"zł","od"
"Konserwacja","Konserwacja","Czyszczenie i smarowanie okuć",25,,"zł",
"Konserwacja","Konserwacja","Konserwacja bez zdejmowania skrzydła",32,,"zł","od"
"Konserwacja","Konserwacja","Konserwacja ze zdjęciem skrzydła",48,,"zł","od"
"Konserwacja","Konserwacja","Smarowanie okuć (komplet)",20,,"zł",
"Konserwacja","Konserwacja","Konserwacja okien drewnianych (czyszczenie + impregnacja)",65,,"zł","od"
"Konserwacja","Konserwacja","Pakiet konserwacyjny roczny (2 wizyty)",120,,"zł","od"
"Montaż drzwi","Montaż drzwi","Drzwi wewnętrzne pojedyncze",130,,"zł","od"
