"status","category","name","price","price_unit","subcategory","content"
"draft","moskitiery","Siatka z włókna szklanego","120.00","per_meter","Elementy dodatkowe",
"draft","moskitiery","Moskitiera plisowana","1200.00","per_piece","Moskitiery okienne",
"draft","szyby","Szkło zbrojone 6 mm","500.00","per_piece","Pakiety szybowe",
"draft","okna","Laminowanie jednostronne","110.00","per_sqm","Opcje dodatkowe",
"draft","moskitiery","Moskitiera otwierana na zawiasach","850.00","per_piece","Moskitiery drzwiowe",
"draft","okna","Laminowanie dwustronne (różne kolory)","240.00","per_sqm","Opcje dodatkowe",
"draft","rolety-i-zaluzje","Verticale (pionowe)","125.00","per_sqm","Żaluzje",
"draft","okucia","Zaczepy","50.00","per_piece","Okucia okienne",
"draft","okna","Okno dwuskrzydłowe","699.00","per_sqm","Okna PCV",
"draft","okucia","Narożnik","150.00","per_piece","Okucia okienne",
"draft","okucia","Blokada obrotu klamki","200.00","per_piece","Okucia okienne",
"draft","moskitiery","Moskitiera ramkowa wzmocniona","130.00","per_piece","Moskitiery okienne",
"draft","szyby","Szyba zespolona 2-komorowa (4-16-4-16-4)","330.00","per_piece","Pakiety szybowe",
"draft","okucia","Klamka okienna standardowa","79.00","per_piece","Klamki i uchwyty",
"draft","okucia","Nawiewnik ciśnieniowy","350.00","per_piece","Mechanizmy specjalne",
"draft","rolety-i-zaluzje","Roleta nakładana","380.00","per_sqm","Rolety zewnętrzne",
"draft","okucia","Siłownik okienny elektryczny","800.00","per_piece","Mechanizmy specjalne",
"draft","moskitiery","Moskitiera przesuwna","2500.00","per_piece","Moskitiery okienne",
"draft","okna","Okno łukowe/nietypowe","0.00","individual","Okna PCV",
"draft","okucia","Samozamykacz drzwiowy","499.00","per_piece","Mechanizmy specjalne",
"draft","rolety-i-zaluzje","Żaluzje aluminiowe 25mm","85.00","per_sqm","Żaluzje",
"draft","okucia","System mikrowentylacji","45.00","per_piece","Mechanizmy specjalne",
"draft","moskitiery","Moskitiera balkonowa otwierana","850.00","per_piece","Moskitiery drzwiowe",
"draft","rolety-i-zaluzje","Roleta nadstawna","450.00","per_sqm","Rolety zewnętrzne",
"draft","okucia","Zawiasy (komplet)","150.00","per_piece","Okucia okienne",
"draft","moskitiery","Profil aluminiowy dodatkowy","39.00","per_meter","Elementy dodatkowe",
